run_id,workflow,event,created_at,head_sha,job_id,example,os,conclusion,step,seconds,bytes
33523721947,build-raw-examples,push,2026-09-01T15:06:48Z,72a4975d7fcc1826085e66a18155c76442466182,,,,,run,21.0,
33523721947,build-raw-examples,push,2026-09-01T15:06:48Z,72a4975d7fcc1826085e66a18155c76442466182,99909135812,cpp-boost,ubuntu-22.04,cancelled,job,7.0,
33523721947,build-raw-examples,push,2026-09-01T15:06:48Z,72a4975d7fcc1826085e66a18155c76442466182,99909135812,cpp-boost,ubuntu-22.04,cancelled,Set up job,0.0,
33523721947,build-raw-examples,push,2026-09-01T15:06:48Z,72a4975d7fcc1826085e66a18155c76442466182,99909135812,cpp-boost,ubuntu-22.04,cancelled,Run actions/checkout@v7,0.0,
33523721947,build-raw-examples,push,2026-09-01T15:06:48Z,72a4975d7fcc1826085e66a18155c76442466182,99909135812,cpp-boost,ubuntu-22.04,cancelled,Run nixbuild/nix-quick-install-action@v35,1.0,
33523721947,build-raw-examples,push,2026-09-01T15:06:48Z,72a4975d7fcc1826085e66a18155c76442466182,99909135812,cpp-boost,ubuntu-22.04,cancelled,Run nix build --print-build-logs examples/cpp-boost,0.0,
33523721947,build-raw-examples,push,2026-09-01T15:06:48Z,72a4975d7fcc1826085e66a18155c76442466182,99909135812,cpp-boost,ubuntu-22.04,cancelled,Post Run actions/checkout@v7,1.0,
33523721947,build-raw-examples,push,2026-09-01T15:06:48Z,72a4975d7fcc1826085e66a18155c76442466182,99909135812,cpp-boost,ubuntu-22.04,cancelled,Complete job,0.0,
33523721947,build-raw-examples,push,2026-09-01T15:06:48Z,72a4975d7fcc1826085e66a18155c76442466182,99909135815,hello/credulous,ubuntu-22.04-arm,cancelled,job,6.0,
33523721947,build-raw-examples,push,2026-09-01T15:06:48Z,72a4975d7fcc1826085e66a18155c76442466182,99909135815,hello/credulous,ubuntu-22.04-arm,cancelled,Set up job,1.0,
33523721947,build-raw-examples,push,2026-09-01T15:06:48Z,72a4975d7fcc1826085e66a18155c76442466182,99909135815,hello/credulous,ubuntu-22.04-arm,cancelled,Run actions/checkout@v7,0.0,
33523721947,build-raw-examples,push,2026-09-01T15:06:48Z,72a4975d7fcc1826085e66a18155c76442466182,99909135815,hello/credulous,ubuntu-22.04-arm,cancelled,Run nixbuild/nix-quick-install-action@v35,1.0,
33523721947,build-raw-examples,push,2026-09-01T15:06:48Z,72a4975d7fcc1826085e66a18155c76442466182,99909135815,hello/credulous,ubuntu-22.04-arm,cancelled,Run nix build --print-build-logs examples/hello/credulous,0.0,
33523721947,build-raw-examples,push,2026-09-01T15:06:48Z,72a4975d7fcc1826085e66a18155c76442466182,99909135815,hello/credulous,ubuntu-22.04-arm,cancelled,Post Run actions/checkout@v7,0.0,
33523721947,build-raw-examples,push,2026-09-01T15:06:48Z,72a4975d7fcc1826085e66a18155c76442466182,99909135815,hello/credulous,ubuntu-22.04-arm,cancelled,Complete job,0.0,
33523721947,build-raw-examples,push,2026-09-01T15:06:48Z,72a4975d7fcc1826085e66a18155c76442466182,99909135819,python,ubuntu-22.04,cancelled,job,7.0,
33523721947,build-raw-examples,push,2026-09-01T15:06:48Z,72a4975d7fcc1826085e66a18155c76442466182,99909135819,python,ubuntu-22.04,cancelled,Set up job,1.0,
33523721947,build-raw-examples,push,2026-09-01T15:06:48Z,72a4975d7fcc1826085e66a18155c76442466182,99909135819,python,ubuntu-22.04,cancelled,Run actions/checkout@v7,1.0,
